BILK	to cheat; defraud
NOMINAL	existing in name only; negligible
BLIGHT	to afflict; destroy
BLITHE	joyful, cheerful, or without appropriate thought
NUANCE	a subtle expression of meaning or quality
FERVID	intensely emotional; feverish
SPECIOUS	deceptively attractive; seemingly plausible but fallacious
SOLECISM	grammatical mistake; blunder in speech
JETTISON	to discard; get rid of as unnecessary or encumbering
LAMENT	to express sorrow; to grieve
GULLIBLE	easily deceived
FLORID	excessively decorated or embellished
FANATICAL	acting excessively enthusiastic; filled with extreme unquestioned devotion
EPHEMERAL	lasting a short time
SEDITION	behavior that promotes rebellion or civil disorder against the state
GLIB	fluent in an insincere manner; offhand; casual
ABDICATE	to give up a position, right, or power
IRASCIBLE	easily made angry
FLAG	to decline in vigor, strength, or interest
FETID	foul-smelling; putrid
GLOWER	to glare or stare angrily and intensely
MONASTIC	extremely plain or secluded
PEDANT	someone who shows off learning
PATHOGENIC	causing disease
CHAUVINIST	someone prejudiced in favor of a group to which he/she belongs
GUILE	deceit; trickery
SOBRIQUET	nickname
NASCENT	starting to develop; coming into existence
BELFRY	bell tower; room in which a bell is hung
BANAL	predictable; cliched; boring
CRESCENDO	steadily increasing in volume or force
FRUGALITY	tending to be thrifty or cheap
CORROBORATE	to support with evidence
AUSTERE	severe or stern in appearance; undecorated
LUMINOUS	bright; brilliant; glowing
GROVEL	to humble oneself in a demeaning way
SANGUINE	ruddy; cheerfully optimistic
STRATAGEM	trick designed to deceive an enemy
EMULATE	to copy; to try to equal or excel
HEGEMONY	the domination of one state or group over its allies
EXPURGATE	to censor
PARLEY	discussion, usually b/w enemies
FECUND	fertile; fruitful; productive
DISSEMBLE	to present a false appearance; to disguise one's real intentions or character
SPORTIVE	frolicsome; playful
VERDANT	green with vegetation; inexperienced
INIQUITY	sin; evil act
CONDONE	to overlook, pardon, or disregard
FALLOW	dormant; unused
OROTUND	pompous
DOGMATIC	dictatorial in one's opinions
TAWDRY	gaudy, cheap, or showy
SULLY	to tarnish; taint
VERNAL	related to spring; fresh
DROLL	amusing in a wry, subtle way
FURTIVE	secret, stealthy
CIRCUMSPECT	cautious; aware of potential consequences
MALINGER	to evade responsibility by pretending to be ill
ELOQUENT	persuasive and moving, especially in speech
RETICENT	silent; reserved
AUDACIOUS	fearless and daring
DIATRIBE	an abusive, condemnatory speech
SARDONIC	cynical; scornfully mocking
ASSUAGE	to make something unpleasant less severe
DESICCATE	to dry out thoroughly
LAMPOON	to ridicule with satire
SURFEIT	excessive amount
GRIEVOUS	causing grief or sorrow; serious and distressing
FRENETIC	frantic; frenzied
INGENUOUS	showing innocence or childlike simplicity
LAPIDARY	relating to precious stones or the art of cutting them
ZEAL	passion; excitement
INEXORABLE	inflexible; unyielding
MISANTHROPE	a person who dislikes others
ABYSS	an extremely deep hole
PRAGMATIC	practical, as opposed to idealistic
MISSIVE	a written note or letter
NETTLE	to irritate
ABSTAIN	to choose not to do something
SYCOPHANT	a self-serving flatterer; yes-man
LACHRYMOSE	tearful
PASTICHE	piece of literature or music imitating other works
FORD	to cross a body of water by wading
CONTRITE	deeply sorrowful or repentant for a wrong
PULCHRITUDE	beauty
ENUMERATE	to count, list, or itemize
NAIVE	lacking sophistication or experience
JUNCTURE	point of time, especially where two things are joined
CANARD	a lie
GREGARIOUS	outgoing; sociable
WINSOME	charming; happily engaging
VACILLATE	to physically sway or be indecisive
ITINERANT	wandering from place to place; unsettled
SACROSANCT	extremely sacred; beyond criticism
DIURNAL	existing during the day
TACITURN	silent; not talkative
ENDEMIC	belonging to a particular area; inherent
TOADY	one who flatters in the hope of gaining favors
NEOLOGISM	new word or expression
SUPPLANT	to replace (another) by force; to take the place of
